k = 16

k            total       max

1.0e+006 *

    0.0000    3.7781    0.0485
    0.0000    3.7554    0.0471
    0.0000    3.7482    0.0467
    0.0000    3.7441    0.0464
    0.0000    3.7419    0.0463
    0.0000    3.7399    0.0462
    0.0000    3.7389    0.0461
    0.0000    3.7381    0.0461
    0.0000    3.7382    0.0461
    0.0000    3.7368    0.0460
    0.0000    3.7363    0.0460
    0.0000    3.7359    0.0460
    0.0000    3.7356    0.0460
    0.0000    3.7360    0.0460
    0.0000    3.7367    0.0459
    0.0000    3.7353    0.0459
    0.0000    3.7366    0.0459
    0.0000    3.7366    0.0459
    0.0000    3.7381    0.0459
    0.0000    3.7377    0.0459
    0.0000    3.7372    0.0459
    0.0000    3.7369    0.0459
    0.0000    3.7373    0.0459
    0.0000    3.7379    0.0459
    0.0000    3.7377    0.0459
    0.0000    3.7374    0.0459
    0.0000    3.7379    0.0459
    0.0000    3.7373    0.0459
    0.0000    3.7378    0.0459
    0.0000    3.7378    0.0459
    0.0000    3.7381    0.0459
    0.0000    3.7372    0.0459
    0.0000    3.7385    0.0459
    0.0000    3.7377    0.0459
    0.0000    3.7373    0.0459
    0.0000    3.7390    0.0459
    0.0000    3.7388    0.0459
    0.0000    3.7376    0.0459
    0.0000    3.7392    0.0459
    0.0000    3.7388    0.0459
    0.0000    3.7392    0.0459
    0.0000    3.7395    0.0459
    0.0000    3.7399    0.0459
    0.0000    3.7402    0.0459
    0.0000    3.7395    0.0459
    0.0000    3.7415    0.0459
    0.0000    3.7402    0.0459
    0.0000    3.7404    0.0459
    0.0000    3.7409    0.0459
    0.0001    3.7410    0.0459
    0.0001    3.7411    0.0459
    0.0001    3.7409    0.0459
    0.0001    3.7418    0.0459
    0.0001    3.7416    0.0459
    0.0001    3.7413    0.0459
    0.0001    3.7408    0.0459
    0.0001    3.7426    0.0459
    0.0001    3.7416    0.0459
    0.0001    3.7419    0.0459
    0.0001    3.7430    0.0459
    0.0001    3.7424    0.0459
    0.0001    3.7427    0.0459
    0.0001    3.7431    0.0459
    0.0001    3.7430    0.0459
    0.0001    3.7435    0.0459
    0.0001    3.7435    0.0459
    0.0001    3.7444    0.0459
    0.0001    3.7439    0.0459
    0.0001    3.7450    0.0459
    0.0001    3.7449    0.0459
    0.0001    3.7460    0.0459
    0.0001    3.7455    0.0459
    0.0001    3.7464    0.0459
    0.0001    3.7472    0.0459
    0.0001    3.7467    0.0459
    0.0001    3.7471    0.0459
    0.0001    3.7470    0.0459
    0.0001    3.7486    0.0459
    0.0001    3.7483    0.0459
    0.0001    3.7481    0.0459
    0.0001    3.7487    0.0459
    0.0001    3.7489    0.0459
    0.0001    3.7491    0.0459
    0.0001    3.7497    0.0459
    0.0001    3.7497    0.0459
    0.0001    3.7501    0.0459
    0.0001    3.7496    0.0459
    0.0001    3.7509    0.0459
    0.0001    3.7494    0.0459
    0.0001    3.7497    0.0459
    0.0001    3.7490    0.0459
    0.0001    3.7502    0.0459
    0.0001    3.7504    0.0459
    0.0001    3.7498    0.0459
    0.0001    3.7511    0.0459
    0.0001    3.7505    0.0459
    0.0001    3.7505    0.0459
    0.0001    3.7503    0.0459
    0.0001    3.7497    0.0459
    0.0001    3.7493    0.0458
