k = 15

k            total       max

1.0e+006 *

    0.0000    3.7778    0.0485
    0.0000    3.7555    0.0472
    0.0000    3.7477    0.0467
    0.0000    3.7444    0.0465
    0.0000    3.7414    0.0463
    0.0000    3.7399    0.0462
    0.0000    3.7390    0.0462
    0.0000    3.7383    0.0461
    0.0000    3.7376    0.0461
    0.0000    3.7372    0.0461
    0.0000    3.7364    0.0460
    0.0000    3.7369    0.0460
    0.0000    3.7366    0.0460
    0.0000    3.7364    0.0460
    0.0000    3.7360    0.0460
    0.0000    3.7370    0.0460
    0.0000    3.7363    0.0460
    0.0000    3.7365    0.0460
    0.0000    3.7367    0.0460
    0.0000    3.7373    0.0459
    0.0000    3.7374    0.0459
    0.0000    3.7377    0.0459
    0.0000    3.7370    0.0459
    0.0000    3.7370    0.0459
    0.0000    3.7373    0.0459
    0.0000    3.7374    0.0459
    0.0000    3.7372    0.0459
    0.0000    3.7376    0.0459
    0.0000    3.7369    0.0459
    0.0000    3.7375    0.0459
    0.0000    3.7379    0.0459
    0.0000    3.7379    0.0459
    0.0000    3.7378    0.0459
    0.0000    3.7382    0.0459
    0.0000    3.7388    0.0459
    0.0000    3.7385    0.0459
    0.0000    3.7388    0.0459
    0.0000    3.7389    0.0459
    0.0000    3.7388    0.0459
    0.0000    3.7384    0.0459
    0.0000    3.7378    0.0459
    0.0000    3.7398    0.0459
    0.0000    3.7396    0.0459
    0.0000    3.7399    0.0459
    0.0000    3.7395    0.0459
    0.0000    3.7406    0.0459
    0.0000    3.7404    0.0459
    0.0000    3.7400    0.0459
    0.0000    3.7408    0.0459
    0.0001    3.7418    0.0459
    0.0001    3.7409    0.0459
    0.0001    3.7415    0.0459
    0.0001    3.7413    0.0459
    0.0001    3.7423    0.0459
    0.0001    3.7419    0.0459
    0.0001    3.7416    0.0459
    0.0001    3.7412    0.0459
    0.0001    3.7430    0.0459
    0.0001    3.7422    0.0459
    0.0001    3.7425    0.0459
    0.0001    3.7432    0.0459
    0.0001    3.7429    0.0459
    0.0001    3.7432    0.0459
    0.0001    3.7430    0.0459
    0.0001    3.7429    0.0459
    0.0001    3.7434    0.0459
    0.0001    3.7440    0.0459
    0.0001    3.7439    0.0459
    0.0001    3.7434    0.0459
    0.0001    3.7440    0.0459
    0.0001    3.7442    0.0459
    0.0001    3.7442    0.0459
    0.0001    3.7446    0.0459
    0.0001    3.7447    0.0459
    0.0001    3.7449    0.0459
    0.0001    3.7451    0.0459
    0.0001    3.7446    0.0459
    0.0001    3.7453    0.0459
    0.0001    3.7457    0.0459
    0.0001    3.7459    0.0459
    0.0001    3.7461    0.0459
    0.0001    3.7462    0.0459
    0.0001    3.7465    0.0459
    0.0001    3.7461    0.0459
    0.0001    3.7467    0.0459
    0.0001    3.7468    0.0459
    0.0001    3.7472    0.0459
    0.0001    3.7471    0.0459
    0.0001    3.7473    0.0459
    0.0001    3.7473    0.0459
    0.0001    3.7478    0.0459
    0.0001    3.7478    0.0459
    0.0001    3.7481    0.0459
    0.0001    3.7481    0.0459
    0.0001    3.7482    0.0459
    0.0001    3.7486    0.0459
    0.0001    3.7487    0.0459
    0.0001    3.7490    0.0459
    0.0001    3.7492    0.0459
    0.0001    3.7493    0.0458
