k = 20

k            total       max
1.0e+006 *

    0.0000    3.7798    0.0486
    0.0000    3.7585    0.0473
    0.0000    3.7515    0.0468
    0.0000    3.7478    0.0465
    0.0000    3.7460    0.0464
    0.0000    3.7447    0.0463
    0.0000    3.7438    0.0462
    0.0000    3.7429    0.0462
    0.0000    3.7427    0.0462
    0.0000    3.7422    0.0461
    0.0000    3.7418    0.0461
    0.0000    3.7417    0.0461
    0.0000    3.7412    0.0460
    0.0000    3.7414    0.0460
    0.0000    3.7414    0.0460
    0.0000    3.7409    0.0460
    0.0000    3.7408    0.0460
    0.0000    3.7413    0.0460
    0.0000    3.7408    0.0460
    0.0000    3.7407    0.0460
    0.0000    3.7412    0.0460
    0.0000    3.7412    0.0460
    0.0000    3.7410    0.0460
    0.0000    3.7412    0.0460
    0.0000    3.7411    0.0460
    0.0000    3.7414    0.0460
    0.0000    3.7408    0.0459
    0.0000    3.7414    0.0460
    0.0000    3.7410    0.0459
    0.0000    3.7414    0.0459
    0.0000    3.7414    0.0459
    0.0000    3.7413    0.0459
    0.0000    3.7418    0.0459
    0.0000    3.7418    0.0459
    0.0000    3.7408    0.0459
    0.0000    3.7423    0.0459
    0.0000    3.7416    0.0459
    0.0000    3.7421    0.0459
    0.0000    3.7418    0.0459
    0.0000    3.7417    0.0459
    0.0000    3.7418    0.0459
    0.0000    3.7417    0.0459
    0.0000    3.7419    0.0459
    0.0000    3.7421    0.0459
    0.0000    3.7425    0.0459
    0.0000    3.7422    0.0459
    0.0000    3.7431    0.0459
    0.0000    3.7427    0.0459
    0.0000    3.7429    0.0459
    0.0001    3.7429    0.0459
    0.0001    3.7429    0.0459
    0.0001    3.7431    0.0459
    0.0001    3.7424    0.0459
    0.0001    3.7431    0.0459
    0.0001    3.7436    0.0459
    0.0001    3.7432    0.0459
    0.0001    3.7434    0.0459
    0.0001    3.7435    0.0459
    0.0001    3.7439    0.0459
    0.0001    3.7448    0.0459
    0.0001    3.7444    0.0459
    0.0001    3.7448    0.0459
    0.0001    3.7440    0.0459
    0.0001    3.7439    0.0459
    0.0001    3.7440    0.0459
    0.0001    3.7454    0.0459
    0.0001    3.7453    0.0459
    0.0001    3.7450    0.0459
    0.0001    3.7448    0.0459
    0.0001    3.7450    0.0459
    0.0001    3.7458    0.0459
    0.0001    3.7458    0.0459
    0.0001    3.7456    0.0459
    0.0001    3.7455    0.0459
    0.0001    3.7464    0.0459
    0.0001    3.7455    0.0459
    0.0001    3.7466    0.0459
    0.0001    3.7451    0.0459
    0.0001    3.7461    0.0459
    0.0001    3.7460    0.0459
    0.0001    3.7457    0.0459
    0.0001    3.7471    0.0459
    0.0001    3.7473    0.0459
    0.0001    3.7464    0.0459
    0.0001    3.7482    0.0459
    0.0001    3.7490    0.0459
    0.0001    3.7489    0.0459
    0.0001    3.7488    0.0459
    0.0001    3.7498    0.0459
    0.0001    3.7503    0.0459
    0.0001    3.7500    0.0459
    0.0001    3.7505    0.0459
    0.0001    3.7500    0.0459
    0.0001    3.7508    0.0459
    0.0001    3.7504    0.0459
    0.0001    3.7507    0.0459
    0.0001    3.7503    0.0459
    0.0001    3.7502    0.0459
    0.0001    3.7495    0.0459
    0.0001    3.7493    0.0458
