k = 34

k            total       max
 1.0e+006 *

    0.0000    3.7791    0.0485
    0.0000    3.7584    0.0472
    0.0000    3.7505    0.0467
    0.0000    3.7469    0.0465
    0.0000    3.7456    0.0463
    0.0000    3.7428    0.0463
    0.0000    3.7432    0.0462
    0.0000    3.7426    0.0461
    0.0000    3.7417    0.0461
    0.0000    3.7416    0.0461
    0.0000    3.7410    0.0461
    0.0000    3.7398    0.0461
    0.0000    3.7406    0.0460
    0.0000    3.7414    0.0460
    0.0000    3.7405    0.0460
    0.0000    3.7400    0.0460
    0.0000    3.7411    0.0460
    0.0000    3.7412    0.0460
    0.0000    3.7398    0.0460
    0.0000    3.7405    0.0459
    0.0000    3.7407    0.0459
    0.0000    3.7399    0.0459
    0.0000    3.7413    0.0459
    0.0000    3.7399    0.0459
    0.0000    3.7400    0.0459
    0.0000    3.7404    0.0459
    0.0000    3.7391    0.0459
    0.0000    3.7408    0.0459
    0.0000    3.7404    0.0459
    0.0000    3.7407    0.0459
    0.0000    3.7395    0.0459
    0.0000    3.7393    0.0459
    0.0000    3.7419    0.0459
    0.0000    3.7386    0.0459
    0.0000    3.7401    0.0459
    0.0000    3.7417    0.0459
    0.0000    3.7397    0.0459
    0.0000    3.7404    0.0459
    0.0000    3.7408    0.0459
    0.0000    3.7413    0.0459
    0.0000    3.7406    0.0459
    0.0000    3.7403    0.0459
    0.0000    3.7406    0.0459
    0.0000    3.7400    0.0459
    0.0000    3.7424    0.0459
    0.0000    3.7404    0.0459
    0.0000    3.7394    0.0459
    0.0000    3.7409    0.0459
    0.0000    3.7418    0.0459
    0.0001    3.7405    0.0459
    0.0001    3.7411    0.0459
    0.0001    3.7416    0.0459
    0.0001    3.7419    0.0459
    0.0001    3.7422    0.0459
    0.0001    3.7420    0.0459
    0.0001    3.7408    0.0459
    0.0001    3.7406    0.0459
    0.0001    3.7413    0.0459
    0.0001    3.7444    0.0459
    0.0001    3.7430    0.0459
    0.0001    3.7443    0.0459
    0.0001    3.7434    0.0459
    0.0001    3.7431    0.0459
    0.0001    3.7451    0.0459
    0.0001    3.7439    0.0459
    0.0001    3.7428    0.0459
    0.0001    3.7422    0.0459
    0.0001    3.7449    0.0459
    0.0001    3.7419    0.0459
    0.0001    3.7445    0.0459
    0.0001    3.7453    0.0459
    0.0001    3.7441    0.0459
    0.0001    3.7441    0.0459
    0.0001    3.7437    0.0459
    0.0001    3.7435    0.0459
    0.0001    3.7436    0.0459
    0.0001    3.7433    0.0459
    0.0001    3.7453    0.0459
    0.0001    3.7455    0.0459
    0.0001    3.7459    0.0459
    0.0001    3.7456    0.0459
    0.0001    3.7464    0.0459
    0.0001    3.7456    0.0459
    0.0001    3.7458    0.0459
    0.0001    3.7470    0.0459
    0.0001    3.7465    0.0459
    0.0001    3.7467    0.0459
    0.0001    3.7465    0.0459
    0.0001    3.7478    0.0459
    0.0001    3.7478    0.0459
    0.0001    3.7471    0.0459
    0.0001    3.7475    0.0459
    0.0001    3.7477    0.0459
    0.0001    3.7483    0.0459
    0.0001    3.7477    0.0459
    0.0001    3.7486    0.0459
    0.0001    3.7480    0.0459
    0.0001    3.7490    0.0459
    0.0001    3.7492    0.0459
    0.0001    3.7493    0.0458
